,question,Title,votenumber,yeas,nays,date,issue,result
0, . ,Barrasso Amdt. No. 2180; To limit the use of certain funds made available for grants to enable the sustained cost-effective implementation of updated building energy codes.,00293,45,48,02-Aug,H.R. 3684,Rejected
1, . ,Thune Amdt. No. 2162; To address the workforce needs of the telecommunications industry.,00292,95,1,02-Aug,H.R. 3684,Agreed to
2, . ,"Padilla Amdt. No. 2133; To amend the Indian Health Care Improvement Act to expand the funding authority for renovating, constructing, and expanding certain facilities.",00291,90,7,02-Aug,H.R. 3684,Agreed to
3,On the Nomination,"Confirmation: Ur Mendoza Jaddou, of California, to be Director of the United States Citizenship and Immigration Services, Department of Homeland Security",00290,47,34,30-Jul,PN369,Confirmed
4,On the Cloture Motion,"Motion to Invoke Cloture: Ur Mendoza Jaddou to be Director of the United States Citizenship and Immigration Services, Department of Homeland Security",00289,50,41,30-Jul,PN369,Agreed to
5,On the Motion to Proceed,"Motion to Proceed to H.R. 3684; A bill to authorize funds for Federal-aid highways, highway safety programs, and transit programs, and for other purposes.",00288,66,28,30-Jul,H.R. 3684,Agreed to
6,On Passage of the Bill,"H.R. 3237, As Amended; A bill making emergency supplemental appropriations for the fiscal year ending September 30, 2021, and for other purposes.",00287,98,0,29-Jul,H.R. 3237,Passed
7, . ,Motion to Waive All Applicable Budgetary Discipline Re: Leahy Amdt. No. 2123; In the nature of a substitute.,00286,72,26,29-Jul,H.R. 3237,Agreed to
8,On Cloture on the Motion to Proceed,"Upon Reconsideration, Motion to Invoke Cloture on the Motion to Proceed to H.R. 3684; A bill to authorize funds for Federal-aid highways, highway safety programs, and transit programs, and for other purposes.",00285,67,32,28-Jul,H.R. 3684,Agreed to
9,On the Nomination,"Confirmation: David M. Prouty, of Maryland, to be a Member of the National Labor Relations Board",00284,53,46,28-Jul,PN739,Confirmed
10,On the Cloture Motion,Motion to Invoke Cloture: David M. Prouty to be a Member of the National Labor Relations Board,00283,53,46,28-Jul,PN739,Agreed to
11,On the Nomination,"Confirmation: Gwynne A. Wilcox, of New York, to be a Member of the National Labor Relations Board",00282,52,47,28-Jul,PN609,Confirmed
12,On the Cloture Motion,Motion to Invoke Cloture: Gwynne A. Wilcox to be a Member of the National Labor Relations Board,00281,52,47,28-Jul,PN609,Agreed to
13,On the Motion to Discharge,"Motion to Discharge: Tracy Stone-Manning to be Director of the Bureau of Land Management, from the Committee on Energy and Natural Resources",00280,50,49,27-Jul,PN443,Agreed to
14,On the Nomination,"Confirmation: Todd Sunhwae Kim, of the District of Columbia, to be an Assistant Attorney General",00279,58,41,27-Jul,PN250,Confirmed
15,On the Cloture Motion,Motion to Invoke Cloture: Todd Sunhwae Kim to be an Assistant Attorney General,00278,54,40,26-Jul,PN250,Agreed to
16,On the Nomination,"Confirmation: Jill Hruby, of New Mexico, to be Under Secretary for Nuclear Security, Department of Energy",00277,79,16,22-Jul,PN401,Confirmed
17,On Cloture on the Motion to Proceed,"Motion to Invoke Cloture: Motion to Proceed to H.R. 3684; A bill to authorize funds for Federal-aid highways, highway safety programs, and transit programs, and for other purposes.",00276,49,51,21-Jul,H.R. 3684,Rejected
18,On the Nomination,"Confirmation: Bonnie D. Jenkins, of New York, to be Under Secretary of State for Arms Control and International Security",00275,52,48,21-Jul,PN242,Confirmed
19,On the Cloture Motion,Motion to Invoke Cloture: Bonnie D. Jenkins to be Under Secretary of State for Arms Control and International Security ,00274,52,48,21-Jul,PN242,Agreed to
20,On the Nomination,"Confirmation: Jennifer Ann Abruzzo, of New York, to be General Counsel of the National Labor Relations Board",00273,50,50,21-Jul,PN126,Confirmed
21,On Passage of the Bill,"H.R. 1652; A bill to deposit certain funds into the Crime Victims Fund, to waive matching requirements, and for other purposes.",00272,100,0,20-Jul,H.R. 1652,Passed
22, . ,"Toomey Amdt No. 2121, As Modified; To ensure adequate funding in the Crime Victims Fund is disbursed to victims, their families, and their advocates each year.",00271,40,60,20-Jul,H.R. 1652,Rejected
23,On the Nomination,"Confirmation: Kenneth Allen Polite, Jr., of Louisiana, to be an Assistant Attorney General",00270,56,44,20-Jul,PN423,Confirmed
24,On the Cloture Motion,Motion to Invoke Cloture: Jennifer Ann Abruzzo to be General Counsel of the National Labor Relations Board,00269,50,50,20-Jul,PN126,Agreed to
25,On the Cloture Motion,"Motion to Invoke Cloture: Kenneth Allen Polite, Jr. to be an Assistant Attorney General",00268,57,43,20-Jul,PN423,Agreed to
26,On the Nomination,"Confirmation: Tiffany P. Cunningham, of Illinois, to be United States Circuit Judge for the Federal Circuit",00267,63,33,19-Jul,PN389,Confirmed
27,On the Cloture Motion,Motion to Invoke Cloture: Tiffany P. Cunningham to be United States Circuit Judge for the Federal Circuit,00266,63,34,15-Jul,PN389,Agreed to
28,On the Nomination,"Confirmation: Donald Michael Remy, of Louisiana, to be Deputy Secretary of Veterans Affairs",00265,91,8,15-Jul,PN460,Confirmed
29,On the Nomination,"Confirmation: J. Nellie Liang, of Maryland, to be an Under Secretary of the Treasury",00264,72,27,15-Jul,PN414,Confirmed
30,On the Cloture Motion,Motion to Invoke Cloture: Donald Michael Remy to be Deputy Secretary of Veterans Affairs,00263,90,8,14-Jul,PN460,Agreed to
31,On the Cloture Motion,Motion to Invoke Cloture: J. Nellie Liang to be an Under Secretary of the Treasury,00262,72,27,14-Jul,PN414,Agreed to
32,On the Nomination,"Confirmation: Seema Nanda, of Virginia, to be Solicitor for the Department of Labor",00261,53,46,14-Jul,PN269,Confirmed
33,On the Nomination,"Confirmation: Jocelyn Samuels, of Maryland, to be a Member of the Equal Employment Opportunity Commission",00260,52,47,14-Jul,PN271,Confirmed
34,On the Cloture Motion,Motion to Invoke Cloture: Seema Nanda to be Solicitor for the Department of Labor,00259,53,47,14-Jul,PN269,Agreed to
35,On the Cloture Motion,Motion to Invoke Cloture: Jocelyn Samuels to be a Member of the Equal Employment Opportunity Commission,00258,53,47,14-Jul,PN271,Agreed to
36,On the Motion to Discharge,"Motion to Discharge: Jennifer Ann Abruzzo to be General Counsel of the National Labor Relations Board from the Committee on Health, Education, Labor, and Pensions",00257,50,48,13-Jul,PN126,Agreed to
37,On the Nomination,"Confirmation: Julie A. Su, of California, to be Deputy Secretary of Labor",00256,50,47,13-Jul,PN122,Confirmed
38,On the Cloture Motion,Motion to Invoke Cloture: Julie A. Su to be Deputy Secretary of Labor,00255,50,47,13-Jul,PN122,Agreed to
39,On the Nomination,"Confirmation: Uzra Zeya, of Virginia, to be an Under Secretary of State (Civilian Security, Democracy, and Human Rights) ",00254,73,24,13-Jul,PN241,Confirmed
40,On the Cloture Motion,"Motion to Invoke Cloture: Uzra Zeya to be an Under Secretary of State (Civilian Security, Democracy, and Human Rights)",00253,71,23,12-Jul,PN241,Agreed to
41,On the Nomination,"Confirmation: Candace Jackson-Akiwumi, of Illinois, to be U.S. Circuit Judge for the Seventh Circuit",00252,53,40,24-Jun,PN392,Confirmed
42,On Passage of the Bill,"S. 1251; A bill to authorize the Secretary of Agriculture to develop a program to reduce barriers to entry for farmers, ranchers, and private forest landowners in certain voluntary markets, and for other purposes.",00251,92,8,24-Jun,S. 1251,Passed
43, . ,Lee Amdt. No. 2119; In the nature of a substitute.,00250,11,89,24-Jun,S. 1251,Rejected
44,On the Cloture Motion,Motion to Invoke Cloture: Candace Jackson-Akiwumi to be U.S. Circuit Judge for the Seventh Circuit,00249,53,47,23-Jun,PN392,Agreed to
45,On the Nomination,"Confirmation: Deborah L. Boardman, of Maryland, to be U.S. District Judge for the District of Maryland",00248,52,48,23-Jun,PN388,Confirmed
46,On the Cloture Motion,Motion to Invoke Cloture: Deborah L. Boardman to be U.S. District Judge for the District of Maryland ,00247,52,48,23-Jun,PN388,Agreed to
47,On Cloture on the Motion to Proceed,"Motion to Invoke Cloture: Motion to Proceed to S. 2093; A bill to expand Americans' access to the ballot box, reduce the influence of big money in politics, strengthen ethics rules for public servants, and implement other anti-corruption measures for the purpose of fortifying our democracy, and for other purposes.",00246,50,50,22-Jun,S. 2093,Rejected
48,On the Nomination,"Confirmation: Kiran Arjandas Ahuja, of Massachusetts, to be Director of the Office of Personnel Management",00245,50,50,22-Jun,PN220,Confirmed
49,On the Cloture Motion,"Motion to Invoke Cloture: Kiran Arjandas Ahuja, of Massachusetts, to be Director of the Office of Personnel Management",00244,50,50,22-Jun,PN220,Agreed to
50,On the Nomination,"Confirmation: Christopher Charles Fonzone, of Pennsylvania, to be General Counsel of the Office of the Director of National Intelligence",00243,55,45,22-Jun,PN249,Confirmed
51,On the Cloture Motion,Motion to Invoke Cloture: Christopher Charles Fonzone to be General Counsel of the Office of the Director of National Intelligence,00242,52,35,21-Jun,PN249,Agreed to
52,On the Nomination,"Confirmation: John K. Tien, of Georgia, to be Deputy Secretary of Homeland Security",00241,60,34,17-Jun,PN421,Confirmed
53,On the Cloture Motion,Motion to Invoke Cloture: John K. Tien to be Deputy Secretary of Homeland Security,00240,63,33,17-Jun,PN421,Agreed to
54,On the Nomination,"Confirmation: Tommy P. Beaudreau, of Alaska, to be Deputy Secretary of the Interior",00239,88,9,17-Jun,PN363,Confirmed
55,On the Cloture Motion,Motion to Invoke Cloture: Tommy P. Beaudreau to be Deputy Secretary of the Interior,00238,89,9,16-Jun,PN363,Agreed to
56,On the Nomination,"Confirmation: Lydia Kay Griggsby, of Maryland, to be U.S. District Judge for the District of Maryland",00237,59,39,16-Jun,PN390,Confirmed
57,On the Nomination,"Confirmation: Radhika Fox, of California, to be an Assistant Administrator of the Environmental Protection Agency",00236,55,43,16-Jun,PN444,Confirmed
58,On the Cloture Motion,Motion to Invoke Cloture: Lydia Kay Griggsby to be U.S. District Judge for the District of Maryland,00235,57,41,16-Jun,PN390,Agreed to
59,On the Cloture Motion,Motion to Invoke Cloture: Radhika Fox to be an Assistant Administrator of the Environmental Protection Agency,00234,55,43,16-Jun,PN444,Agreed to
60,On the Nomination,"Confirmation: Lina M. Khan, of New York, to be a Federal Trade Commissioner",00233,69,28,15-Jun,PN254,Confirmed
61,On the Cloture Motion,Motion to Invoke Cloture: Lina M. Khan to be a Federal Trade Commissioner,00232,72,25,14-Jun,PN254,Agreed to
62,On the Nomination,"Confirmation: Ketanji Brown Jackson, of the District of Columbia, to be U.S. Circuit Judge for the District of Columbia Circuit",00231,53,44,14-Jun,PN391,Confirmed
63,On the Nomination,"Confirmation: Zahid N. Quraishi, of New Jersey, to be U.S. District Judge for the District of New Jersey",00230,81,16,10-Jun,PN394,Confirmed
64,On the Cloture Motion,Motion to Invoke Cloture: Ketanji Brown Jackson to be U.S. Circuit Judge for the District of Columbia Circuit,00229,52,46,10-Jun,PN391,Agreed to
65,On the Cloture Motion,"Motion to Invoke Cloture: Zahid N. Quraishi, of New Jersey, to be U.S. District Judge for the District of New Jersey",00228,83,16,10-Jun,PN394,Agreed to
66,On Cloture on the Motion to Proceed,"Motion to Invoke Cloture Re: Motion to Proceed to H.R. 7; A bill to amend the Fair Labor Standards Act of 1938 to provide more effective remedies to victims of discrimination in the payment of wages on the basis of sex, and for other purposes.",00227,49,50,08-Jun,H.R. 7,Rejected
67,On Passage of the Bill,"S. 1260, As Amended; A bill to establish a new Directorate for Technology and Innovation in the National Science Foundation, to establish a regional technology hub program, to require a strategy and report on economic security, science, research, innovation, manufacturing, and job creation, to establish a critical supply chain resiliency program, and for other purposes.",00226,68,32,08-Jun,S. 1260,Passed
68, . ,Amdt. No. 1502 As Amended; In the nature of a substitute.,00225,68,32,08-Jun,S. 1260,Agreed to
69, . ,Motion to Waive All Applicable Budgetary Discipline Re: Amdt. No. 1502 As Amended ; In the nature of a substitute.,00224,72,28,08-Jun,S. 1260,Agreed to
70, . ,Cornyn Amdt. No. 1858; To modify the semiconductor incentives program of the Department of Commerce.,00223,42,58,08-Jun,S. 1260,Rejected
71,On the Nomination,"Confirmation: Regina M. Rodriguez, of Colorado, to be U.S. District Judge for the District of Colorado",00222,72,28,08-Jun,PN395,Confirmed
72,On the Cloture Motion,Motion to Invoke Cloture: Regina M. Rodriguez to be U.S. District Judge for the District of Colorado,00221,72,28,08-Jun,PN395,Agreed to
73,On the Nomination,"Confirmation: Julien Xavier Neals, of New Jersey, to be U.S. District Judge for the District of New Jersey",00220,66,33,08-Jun,PN393,Confirmed
74,On the Cloture Motion,Motion to Invoke Cloture: Julien Xavier Neals to be U.S. District Judge for the District of New Jersey,00219,66,28,07-Jun,PN393,Agreed to
75,On the Cloture Motion,"Motion to Invoke Cloture Re: Motion to Proceed to H.R. 3233; A bill to establish the National Commission to Investigate the January 6 Attack on the United States Capitol Complex, and for other purposes.",00218,54,35,28-May,H.R. 3233,Rejected
76,On the Motion for Attendance,"Motion to Instruct the Sergeant at Arms to Request the Attendance of Absentee Senators; A bill to establish a new Directorate for Technology and Innovation in the National Science Foundation, to establish a regional technology hub program, to require a strategy and report on economic security, science, research, innovation, manufacturing, and job creation, to establish a critical supply chain resiliency program, and for other purposes.",00217,84,7,27-May,S. 1260,Agreed to
77, . ,"Crapo-Wyden Amdt. No. 1562 As Modified; To ensure trade is conducted consistent with American values, to ensure resiliency in critical supply chains, to improve transparency and administration of trade programs and oversight and accountability of trade agencies, and to promote American competitiveness.",00216,91,4,27-May,S. 1260,Agreed to
78, . ,"Motion to Table Rubio Amdt. No. 1802; To protect the United States against efforts of China and other foreign entities to engage in economic espionage and to misappropriate United States intellectual property, research and development, and innovation efforts.",00215,55,40,27-May,S. 1260,Agreed to
79, . ,Motion to Invoke Cloture: Schumer Amdt. No. 1502; In the nature of a substitute.,00214,68,30,27-May,S. 1260,Agreed to
80, . ,Sasse Amdt. No. 2023; To authorize appropriations for the Defense Advanced Research Projects Agency to conduct research and development in key technology focus areas.,00213,67,30,26-May,S. 1260,Agreed to
81, . ,"Braun Amdt. No. 1771; To amend title 18, United States Code, to prohibit certain types of human-animal chimeras.",00212,48,49,26-May,S. 1260,Rejected
82, . ,Lee Amdt. No. 1929; To establish a task force for regulatory oversight and review.,00211,48,49,26-May,S. 1260,Rejected
83, . ,Coons Amdt. No. 1588; To establish the Foundation for Energy Security and Innovation.,00210,83,14,26-May,S. 1260,Agreed to
84, . ,Kennedy Amdt. No. 1710; To prohibit allocations of Special Drawing Rights at the International Monetary Fund for perpetrators of genocide and state sponsors of terrorism without congressional authorization.,00209,51,49,26-May,S. 1260,Rejected
85, . ,Durbin Amdt. No. 2014; To express the sense of the Senate on the allocation of Special Drawing Rights by the International Monetary Fund to help other countries procure COVID-19 vaccines and protect against the economic instability caused by the COVID-19 pandemic.,00208,50,50,26-May,S. 1260,Rejected
86, . ,Sullivan Amdt. No. 1911; To require institutions of higher education to submit attestations on freedom of speech.,00207,49,51,26-May,S. 1260,Rejected
87, . ,Lee Amdt. No. 1891; To impose limitations on research.,00206,48,51,25-May,S. 1260,Rejected
88, . ,Crapo Amdt. No. 1565; To provide limitations on the authority of the President to modify trade agreements.,00205,53,46,25-May,S. 1260,Rejected
89, . ,"Wyden Amdt. No. 1975; To set forth trade policy, negotiating objectives, and congressional oversight requirements relating to the response to the COVID-19 pandemic.",00204,50,49,25-May,S. 1260,Rejected
90,On the Nomination,"Confirmation: Kristen M. Clarke, of the District of Columbia, to be an Assistant Attorney General",00203,51,48,25-May,PN79-2,Confirmed
91,On the Cloture Motion,Motion to Invoke Cloture: Kristen M. Clarke to be an Assistant Attorney General,00202,51,48,25-May,PN79-2,Agreed to
92,On the Nomination,"Confirmation: Chiquita Brooks-LaSure, of Virginia, to be Administrator of the Centers for Medicare and Medicaid Services",00201,55,44,25-May,PN124,Confirmed
93,On the Cloture Motion,Motion to Invoke Cloture: Chiquita Brooks-LaSure to be Administrator of the Centers for Medicare and Medicaid Services,00200,52,43,24-May,PN124,Agreed to
94, . ,Johnson Amdt. No. 1518; To prohibit the cancellation of contracts for physical barriers and other border security measures for which funds already have been obligated and for which penalties will be incurred in the case of such cancellation and prohibiting the use of funds for payment of such penalties.,00199,46,48,20-May,S. 1260,Rejected
95, . ,Inhofe Amdt. No. 1523; To express the sense of the Senate and establish points of order to ensure the United States adequately funds national defense with a whole-of-government investment plan for strategic competition with the People's Republic of China.,00198,44,53,20-May,S. 1260,Rejected
96, . ,Scott (FL) Amdt. No. 1547; To direct unobligated amounts made available under coronavirus relief legislation for purposes of carrying out this Act.,00197,47,50,19-May,S. 1260,Rejected
97, . ,"Tillis Amdt. No. 1517; To amend chapter 11 of title 35, United States Code, to require the voluntary collection of demographic information for patent inventors, and for other purposes.",00196,71,27,19-May,S. 1260,Agreed to
98,On the Joint Resolution,"S.J. Res. 13; A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Equal Employment Opportunity Commission relating to ""Update of Commission's Conciliation Procedures"".",00195,50,48,19-May,S.J.Res. 13,Passed
99,On the Motion to Proceed,"Motion to Proceed to S.J. Res. 13; A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Equal Employment Opportunity Commission relating to ""Update of Commission's Conciliation Procedures"".",00194,50,49,18-May,S.J.Res. 13,Agreed to
100,On the Motion to Discharge,Motion to Discharge the Nomination of Kristen M. Clarke to be an Assistant Attorney General from the Committee on the Judiciary ,00193,50,48,18-May,PN79-2,Agreed to
101,On Cloture on the Motion to Proceed,"Motion to Invoke Cloture on the Motion to Proceed to S. 1260; A bill to establish a new Directorate for Technology and Innovation in the National Science Foundation, to establish a regional technology hub program, to require a strategy and report on economic security, science, research, innovation, manufacturing, and job creation, to establish a critical supply chain resiliency program, and for other purposes.",00192,86,11,17-May,S. 1260,Agreed to
102,On the Nomination,"Confirmation: Donet Dominic Graves, Jr., of Ohio, to be Deputy Secretary of Commerce",00191,89,7,13-May,PN79-3,Confirmed
103,On the Nomination,"Confirmation: Amber Faye McReynolds, of Colorado, to be a Governor of the United States Postal Service",00190,59,38,13-May,PN244,Confirmed
104,On the Cloture Motion,Motion to Invoke Cloture: Amber Faye McReynolds to be a Governor of the United States Postal Service,00189,60,38,12-May,PN244,Agreed to
105,On the Nomination,"Confirmation: Ronald Stroman, of the District of Columbia, to be a Governor of the United States Postal Service",00188,66,32,12-May,PN245,Confirmed
106,On the Cloture Motion,Motion to Invoke Cloture: Ronald Stroman to be a Governor of the United States Postal Service,00187,67,32,12-May,PN245,Agreed to
107,On the Nomination,"Confirmation: Ronald Stroman, of the District of Columbia, to be a Governor of the United States Postal Service",00186,69,30,12-May,PN246,Confirmed
108,On the Cloture Motion,Motion to Invoke Cloture: Ronald Stroman to be a Governor of the United States Postal Service,00185,68,30,12-May,PN246,Agreed to
109,On the Motion to Discharge,Motion to Discharge: Chiquita Brooks-LaSure to be Administrator of the Centers for Medicare and Medicaid Services from the Committee on Finance,00184,51,48,12-May,PN124,Agreed to
110,On the Joint Resolution,"S. J. Res. 15; A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Office of the Comptroller of Currency relating to ""National Banks and Federal Savings Associations as Lenders"".",00183,52,47,11-May,S.J.Res. 15,Passed
111,On the Nomination,"Confirmation: Cynthia Minette Marten, of California, to be Deputy Secretary of Education",00182,54,44,11-May,PN128,Confirmed
112,On the Cloture Motion,Motion to Invoke Cloture: Cynthia Minette Marten to be Deputy Secretary of Education,00181,54,44,11-May,PN128,Agreed to
113,On the Nomination,"Confirmation: Andrea Joan Palm, of Wisconsin, to be Deputy Secretary of Health and Human Services",00180,61,37,11-May,PN125,Confirmed
114,On the Cloture Motion,Motion to Invoke Cloture: Andrea Joan Palm to be Deputy Secretary of Health and Human Services,00179,62,35,10-May,PN125,Agreed to
115,On Passage of the Bill,"S. 914, As Amended; A bill to amend the Safe Drinking Water Act and the Federal Water Pollution Control Act to reauthorize programs under those Acts, and for other purposes.",00178,89,2,29-Apr,S. 914,Passed
116, . ,Lee Amdt. No. 1472; To limit the authority to reserve water rights in designating a national monument.,00177,41,54,29-Apr,S. 914,Rejected
117, . ,"Rubio Amdt. No. 1471, As Modified; To modify a provision relating to allotments under the Federal Water Pollution Control Act.",00176,14,81,29-Apr,S. 914,Rejected
118,On the Joint Resolution,"S.J. Res. 14; A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""Oil and Natural Gas Sector: Emission Standards for New, Reconstructed, and Modified Sources Review"".",00175,52,42,28-Apr,S.J.Res. 14,Passed
119,On the Nomination,"Confirmation: Samantha Power, of Massachusetts, to be Administrator of the United States Agency for International Development",00174,68,26,28-Apr,PN114,Confirmed
120,On the Cloture Motion,Motion to Invoke Cloture: Samantha Power to be Administrator of the United States Agency for International Development ,00173,67,28,28-Apr,PN114,Agreed to
121,On Cloture on the Motion to Proceed,"Motion to Invoke Cloture: Motion to Proceed to S. 914; A bill to amend the Safe Drinking Water Act and the Federal Water Pollution Control Act to reauthorize programs under those Acts, and for other purposes.",00172,92,2,27-Apr,S. 914,Agreed to
122,On the Nomination,"Confirmation: Colin Hackett Kahl, of California, to be Under Secretary of Defense for Policy",00171,49,45,27-Apr,PN79-6,Confirmed
123,On the Cloture Motion,Motion to Invoke Cloture: Colin Hackett Kahl to be Under Secretary of Defense for Policy,00170,49,44,27-Apr,PN79-6,Agreed to
124,On the Nomination,"Confirmation: Janet Garvin McCabe, of Indiana, to be Deputy Administrator of the Environmental Protection Agency",00169,52,42,27-Apr,PN79-8,Confirmed
125,On the Cloture Motion,Motion to Invoke Cloture: Janet Garvin McCabe to be Deputy Administrator of the Environmental Protection Agency,00168,52,42,27-Apr,PN79-8,Agreed to
126,On the Nomination,"Confirmation: Jason Scott Miller, of Maryland, to be Deputy Director for Management, Office of Management and Budget",00167,81,13,27-Apr,PN79-9,Confirmed
127,On the Cloture Motion,"Motion to Invoke Cloture: Jason Scott Miller to be Deputy Director for Management, Office of Management and Budget",00166,82,13,26-Apr,PN79-9,Agreed to
128,On Passage of the Bill,"S. 937, As Amended; A bill to facilitate the expedited review of COVID-19 hate crimes, and for other purposes.",00165,94,1,22-Apr,S. 937,Passed
129, . ,Blackburn Amdt. No. 1458; To improve the bill.,00164,46,51,22-Apr,S. 937,Rejected
130, . ,Lee Amdt. No. 1425; To require a report on State restrictions on religious exercise during the COVID-19 pandemic.,00163,49,48,22-Apr,S. 937,Rejected
131, . ,"Cruz Amdt. No. 1456; To prohibit Federal funding for any institution of higher education that discriminates against Asian Americans in recruitment, applicant review, or admissions.",00162,49,48,22-Apr,S. 937,Rejected
132,On the Motion to Discharge,Motion to Discharge Colin Hackett Kahl to be Under Secretary of Defense for Policy from the Committee on Armed Services,00161,50,50,21-Apr,PN79-6,Agreed to
133,On the Nomination,"Confirmation: Vanita Gupta, of Virginia, to be Associate Attorney General",00160,51,49,21-Apr,PN79-4,Confirmed
134,On the Cloture Motion,Motion to Invoke Cloture: Vanita Gupta to be Associate Attorney General,00159,51,49,21-Apr,PN79-4,Agreed to
135,On the Nomination,"Confirmation: Lisa O. Monaco, of the District of Columbia, to be Deputy Attorney General",00158,98,2,20-Apr,PN79-10,Confirmed
136,On the Nomination,"Confirmation: Gary Gensler, of Maryland, to be a Member of the Securities and Exchange Commission",00157,54,45,20-Apr,PN81,Confirmed
137,On the Cloture Motion,Motion to Invoke Cloture: Gary Gensler to be a Member of the Securities and Exchange Commission,00156,54,44,20-Apr,PN81,Agreed to
138,On the Motion to Proceed,Motion to Proceed to Executive Session to Consider Vanita Gupta to be Associate Attorney General,00155,50,49,19-Apr,PN79-4,Agreed to
139,On the Cloture Motion,Motion to Invoke Cloture: Lisa O. Monaco to be Deputy Attorney General,00154,94,3,19-Apr,PN79-10,Agreed to
140,On the Motion to Discharge,Motion to Discharge the Nomination of Vanita Gupta from the Committee on the Judiciary,00153,49,34,15-Apr,PN79-4,Agreed to
141,On the Motion to Proceed,"Motion to Proceed to Executive Session; A bill to facilitate the expedited review of COVID-19 hate crimes, and for other purposes.",00152,49,45,15-Apr,S. 937,Agreed to
142,On Cloture on the Motion to Proceed,"Motion to Invoke Cloture Re: Motion to Proceed to S. 937; A bill to facilitate the expedited review of COVID-19 hate crimes, and for other purposes.",00151,92,6,14-Apr,S. 937,Agreed to
143,On the Nomination,"Confirmation: Brenda Mallory, of Maryland, to be a Member of the Council on Environmental Quality",00150,53,45,14-Apr,PN79-7,Confirmed
144,On the Cloture Motion,Motion to Invoke Cloture: Brenda Mallory to be a Member of the Council on Environmental Quality,00149,53,45,14-Apr,PN79-7,Agreed to
145,On the Nomination,"Confirmation: Gary Gensler, of Maryland, to be a Member of the Securities and Exchange Commission",00148,53,45,14-Apr,PN80,Confirmed
146,On the Cloture Motion,Motion to Invoke Cloture: Gary Gensler to be a Member of the Securities and Exchange Commission,00147,53,45,13-Apr,PN80,Agreed to
147,On the Nomination,"Confirmation: Wendy Ruth Sherman, of Maryland, to be Deputy Secretary of State",00146,56,42,13-Apr,PN79-12,Confirmed
148,On the Cloture Motion,Motion to Invoke Cloture: Wendy Ruth Sherman to be Deputy Secretary of State,00145,55,42,13-Apr,PN79-12,Agreed to
149,On the Nomination,"Confirmation: Polly Ellen Trottenberg, of New York, to be Deputy Secretary of Transportation",00144,82,15,13-Apr,PN117,Confirmed
150,On the Cloture Motion,Motion to Invoke Cloture: Polly Ellen Trottenberg to be Deputy Secretary of Transportation,00143,81,14,12-Apr,PN117,Agreed to
151,On Passage of the Bill,"H.R. 1868, As Amended; A bill to prevent across-the-board direct spending cuts, and for other purposes.",00142,90,2,25-Mar,H.R. 1868,Passed
152, . ,Scott (FL) Amdt. No. 1411; To improve the bill.,00141,47,50,25-Mar,H.R. 1868,Rejected
