date,title,url,text
"July 2, 2021",Chair Cantwell Statement on President Biden’s Consumer Product Safety Commission Nominations,https://www.commerce.senate.gov/2021/7/chair-cantwell-statement-on-president-biden-s-consumer-product-safety-commission-nominations,"WASHINGTON, D.C.— ,U.S. Senator Maria Cantwell (D-WA), the Chair of the Senate Committee on Commerce, Science, and Transportation, today released the following statement on President Biden’s announcement that he intends to nominate Alex Hoehn-Saric to serve as Chairman of the Consumer Product Safety Commission (CPSC) and Mary Boyle as a Commissioner.,
,""American families need a strong cop on the beat at the Consumer Product Safety Commission,"" ,Chair Cantwell said., ""I've known Alex Hoehn-Saric for years, and he has been at the forefront of the fight for a strong CPSC to protect consumers, children, and families from dangerous products. I look forward to discussing this critically important work with Mr. Hoehn-Saric when he appears before the Commerce Committee. I also congratulate Mary Boyle on her nomination and look forward to hearing more about her vision for the Commission."", ,
,In 2019, Senator Cantwell, one of the leading safety advocates in Congress, ,released a report, detailing the failures of CPSC leadership to adequately protect American consumers from unsafe and defective products.,
,###"
"June 30, 2021","Chair Cantwell Statement on NCAA Move To Allow Student Athletes to Control Their Name, Image, and Likeness Rights",https://www.commerce.senate.gov/2021/6/chair-cantwell-statement-on-ncaa-move-to-allow-student-athletes-to-control-their-name-image-and-likeness-rights,"WASHINGTON, D.C.— ,U.S. Senator Maria Cantwell (D-WA), the Chair of the Senate Committee on Commerce, Science, and Transportation, today released the following statement after the National Collegiate Athletic Association (NCAA) moved to allow student athletes to profit off of their own Name, Image, and Likeness (NIL).,
,“Today’s decision from the NCAA is a welcome acknowledgment that college athletics must do more for college athletes,”, Chair Cantwell said. “,However, today’s interim action is no substitute for a national standard that not only gives our student athletes the ability to control their own Name, Image, and Likeness rights, ,but also includes health care, safety, scholarship, and transfer protections. I look forward to continuing to work towards a bipartisan plan that accomplishes those goals while setting one uniform standard across the country so all of our athletes and schools can safely compete on a level playing field.”,
,Chair Cantwell has been leading Congressional negotiations to establish a national standard for college athletics. In that role, she has ,convened, ,hearings, to explore the issue featuring representatives from student-athletes, the NCAA, individual schools, and coaches in an effort to find a consensus solution for college athletics around the country.  ,
,###,
, "
"June 24, 2021",Cantwell Opens Hearing for Four Biden Admin Nominees Stressing Urgent Need for Robust Transportation Infrastructure Investments,https://www.commerce.senate.gov/2021/6/cantwell-opens-hearing-for-four-biden-admin-nominees-stressing-urgent-need-for-robust-transportation-infrastructure-investments,"TV Quality Video, | ,Transcript,
,Bipartisan Surface Transportation Legislation Passed by Committee Lays Foundation for Comprehensive Infrastructure Investment Package, ,
,Cantwell Also Pushes for Support on Safety and Workforce Issues, ,
,WASHINGTON, D.C.— ,U.S. Senator Maria Cantwell (D-WA), the Chair of the Senate Committee on Commerce, Science, and Transportation, held a hearing today to consider four Biden Administration transportation nominees, some of whom will have roles in the implementation of the infrastructure package Congress is currently considering. Today’s nominees included the Honorable Jennifer L. Homendy, of Virginia, to be Chair of the National Transportation Safety Board; Ms. Karen J. Hedlund, of Colorado, to be a Member of the Surface Transportation Board; Dr. Robert C. Hampshire, of Michigan, to be Assistant Secretary for Research and Technology at the  Department of Transportation; and Ms. Carol A. Petsonk, of the District of Columbia, to be Assistant Secretary for Aviation and International Affairs at the Department of Transportation.,
,“Last week the committee voted on and passed the ,Surface Transportation Investment Act,…”, Cantwell said. ,“This important bipartisan legislation makes a $78 billion down payment on rebuilding and revamping our nation's critical infrastructure, a key to our economic future and creating jobs. Together, this committee succeeded in passing legislation that makes infrastructure investment that we need to be competitive in a global marketplace, and some of the nominees that we are going to hear from today are going to help confirm that role.”, ,
,Holding up a copy of the Seattle Times front page, Cantwell added: ,“…the front page at the Seattle Times is ‘Bounty of Containers Stresses Ports.’ So we've been saying that this is one of the reasons why we need an infrastructure bill because this level of increase in freight throughout, really the United States--my colleagues are probably seeing other things but this report says handling of 330,000 shipping containers has grown 38% compared to May 2020. So, these are problems that we hope to address…”,
,Ms. Hedlund discussed the freight congestion issue that Chair Cantwell raised in her opening statement. ,“I think the role of the STB is to gather information and to work collaboratively with other parts of the government to see if we can solve this problem,,”, Ms. Hedlund said. ,“It is a very serious issue, you’ve seen pictures of 40 tankers out there on the Port of Los Angeles, the Port of Long Beach waiting to unload their containers.”,
,
, CLICK ,HERE, TO WATCH CHAIR CANTWELL’S OPENING STATEMENT,
,“Obviously, the concerns of this committee on aerospace and aerospace safety remain paramount,,”, Chair Cantwell said when discussing Ms. Homendy’s nomination. ,“This is an issue, like in all areas of automation and human response, whether we're talking about the rail sector or the automobile sector the aviation sector, we believe we need to give specific focus to this and so I look forward to hearing how you hope to use the NTSB to work with us on the legislation that we most recently passed, which called for safety trend reports to make sure that the most urgent safety needs are constantly being addressed.”,
,“Leading the department's research and development on technology programs will be very much needed and very important,,”, Chair Cantwell said to Dr. Hampshire. ,“The department's research efforts are key to advancing innovation and technology developments across the transportation sector, and helping develop a skilled interdisciplinary transportation workforce for the nation.”,
,And finally, when addressing Ms. Petsonk, Chair Cantwell said, ,“As we all know, building and reengaging our global partners on international cooperation for aviation safety standards that protect all of the flying public is also a big priority for our committee.”,
,Video of Chair Cantwell’s opening statement can be found ,HERE,.,
,Video of Chair Cantwell’s questioning with witnesses can be found ,HERE, and ,HERE,.,
,A transcript of the opening statement is ,HERE, and the Q&A is ,HERE,.,
,###"
"June 21, 2021",Chair Cantwell Statement on Supreme Court Decision on College Athletics,https://www.commerce.senate.gov/2021/6/chair-cantwell-statement-on-supreme-court-decision-on-college-athletics,"WASHINGTON, D.C. –, Senate Committee on Commerce, Science, and Transportation Chair Maria Cantwell (D-WA) released the following statement following the Supreme Court’s decision in ,National Collegiate Athletic Association (NCAA) vs. Alston,.,
,“Today’s ruling from the Supreme Court makes clear that the status quo in college athletics is untenable. Student athletes are the ones creating tremendous value and providing entertainment for millions with their talent, hard work and skill—and NCAA policies must reflect that reality.  This decision gives new urgency to the bipartisan work we are doing to set a nationwide standard for student athletes that gives them control of their Name, Image and Likeness (NIL) as well as providing additional health benefits and standards.”,
,###"
"June 17, 2021",Chair Cantwell: “Congress Cannot Pass an NIL Law That Just Ignores the Rights of Students.”,https://www.commerce.senate.gov/2021/6/chair-cantwell-congress-cannot-pass-an-nil-law-that-just-ignores-the-rights-of-students,"WASHINGTON, D.C. –, Senate Committee on Commerce, Science, and Transportation Chair Maria Cantwell (D-WA) convened a hearing to hear the voices of student-athletes as Congress debates legislation giving athletes more rights including control over their Name, Image and Likeness (NIL).,
,“Last week we heard from legal experts from the NCAA, a coach, and other individuals who talked about this,”, Chair Cantwell said. ,“But there is so much more to be done. Congress cannot pass an NIL law that just ignores the rights of students. It also has to hear, I believe, about the experiences in healthcare and scholarship that make important rights issues so central to this debate.”,
,Chair Cantwell heard from Christina Chenault, a former Division I Track & Field athlete at UCLA, about the need for a federal law, to ensure the health, safety, and rights of student-athletes are protected. ,“I think there definitely needs to be a national bill put in place,”, Chenault said.  ,“[T]he autonomy can't be put in place just for the institutions to take up individually. When that happens, especially in a system where athletes do not have the power within this system, the athletes are always going to be put on the backburner, or put at a state of disadvantage. So I think there should be a widespread bill that, like Mr. McNair stated, from a health and safety standpoint, can take the precedent of [the] Maryland [law].”,
,Cantwell also asked Chenault to describe the fear of retribution student athletes experience when pushed by their coaches to compete, even while injured: ,“Do you think that people knew who to go to talk to at the university besides the coaching team?, ,Did you think of anybody that you could go to and approach at the university?”  ,
,“I don't think athletes really trust that many professionals at the institution,”, Chenault answered. ,“I think there's a big fear from athletes that it will all come back to their coaches, or in some way, have a financial implication on their end, regarding their scholarship or playing time or whatever the case may be, that will limit their ability to play or do what they love to do., “,
,
,CLICK HERE, AND HERE TO WATCH CANTWELL EXCHANGE WITH MS. CHENAULT,
,Sari Cureton, a former Division I Women’s Basketball player at Georgetown University, agreed saying, ,“As long as we put athletes first and we prioritize their right to monetize their NIL, and when we’re considering restrictions and things like that, I think that's the most important approach to a national legislation.”,
,
,CLICK HERE, TO WATCH CANTWELL EXCHANGE WITH MS. CURETON, ,
,Cantwell also focused on the importance of addressing student athletes’ mental health in her questioning with the witnesses. Ms. Chenault stressed,, “For one, I think mental health shouldn't be reactive, it definitely has to be proactive… And the second thing is, I do think the psychologist should be catered specifically to the athlete, whether it's by sport, whether it's a sports psychologist specifically, or whether it's just the representation of gender or race as an availability or option for these athletes to be able to go to, so that is not just ‘one person fits all’ within mental health.”,
,Ms. Cureton followed up on that point saying that while there was a woman on the athletic staff while she was at Georgetown,, “I think there also needs to be better safeguards in place on educating staff and coaches about the mental health needs of the athletes that they’re serving, so it needs to be proactive on every front… So I think that needs to be a change and a shift in the perspective and how we look at mental health in athletics.”,
,
,CLICK HERE, TO WATCH FULL EXCHANGE ON MENTAL HEALTH,
,Mr. McNair, who tragically lost his son to heat stroke, also weighed in on the appropriate safeguards that need to be in place for student athletes.,
,“So there were plans in place, but they needed to be practiced and executed consistently,”, Mr. McNair said. ,“So in the event that something does happen, we'll know what to do. Now, not only that, but again, student athletes need to know if the peak times they need to know their bodies and things of that nature.”,
, ,
,CLICK HERE, TO WATCH CANTWELL EXCHANGE WITH MR. MCNAIR, ,
,The hearing also covered some of the concerns that have been expressed regarding the implementation of NIL. Ms. Brown addressed the concerns of those seeking to limit NIL rights in the name of “protecting” students.,
,
,“Rather than letting the institution limit how we can use our name, image, and likeness,” ,Ms. Brown said. ,“I think… we could be allowed to learn I think about how NIL would work and be given workshops and that sort of thing, but I don't think we should be limited in terms of how we can use it. Maybe just taught or guided in terms of how best it could work.”,
,
,CLICK HERE, TO WATCH CANTWELL EXCHANGE WITH MS. BROWN, ,
,Video of Chair Cantwell’s opening statement can be found ,HERE,.,
,Video of Chair Cantwell’s Q&A with witnesses can be found ,HERE,, ,HERE,, ,HERE,, ,HERE,, and ,HERE,.,
,Transcripts can be found ,HERE,.,
,###"
"June 16, 2021",Committee Approves Six Bills and Four Nominations,https://www.commerce.senate.gov/2021/6/committee-approves-six-bills-and-four-nominations,"WASHINGTON, D.C. –, The U.S. Senate Committee on Commerce, Science, and Transportation today approved six bills and four nominations, which are now all subject to approval by the full Senate.,
,Chair Maria Cantwell (D-WA) provided the following statement on committee approval of the ,Surface Transportation Investment Act of 2021,:,
,“The main focus of today's markup is the Surface Transportation Investment Act of 2021, and Senator Wicker and I ,introduced, this legislation last week. It makes a big down payment, $78 billion, on rebuilding and revamping our nation's critical transportation infrastructure, a key to our economic future and creating more jobs.”,
,1. ,S. 66,, South Florida Clean Coastal Waters Act of 2021,
,2. ,S. 1747,, Fluke Fairness Act of 2021,
,a. ,Wicker 1,
,3. ,S. 1890,, Protecting Consumers from Travel Fraud Act,
,a. ,Klobuchar substitute,
,4. ,S. 1894,, Regional Ocean Partnership Act,
,a. ,Wicker substitute,
,b. ,Lee 1 (modified),
,5. ,S. 1995,, Sport Fish Restoration and Recreational Boating Safety Act of 2021,
,6. ,S. 2016,, Surface Transportation Investment Act,
,a. ,Cantwell-Wicker substitute (modified),
,b. ,Baldwin 1 (modified),
,c. ,Blackburn 2 (modified),
,d. ,Blumenthal 1 (modified),
,e. ,Blumenthal 2 (modified),
,f. ,Blumenthal 3 (modified),
,g. ,Duckworth 1,
,h. ,Duckworth 8 (modified),
,i. ,Fischer 1, modified by ,Cantwell 1 to Fischer 1 (modified),
,j. ,Fischer 4,
,k. ,Fischer 5,
,l. ,Hickenlooper 1 (modified),
,m. ,Klobuchar 1 (modified),
,n. ,Klobuchar-Thune 2 (modified),
,o. ,Klobuchar 3,
,p. ,Lee 6,
,q. ,Lee 21 (modified),
,r. ,Lee 22,
,s. ,Lee 32,
,t. ,Lee 61,
,u. ,Lee 76,
,v. ,Lee 77,
,w. ,Lee 81,
,x. ,Lee 97,
,y. ,Lee 103,
,z. ,Lee 104,
,aa. ,Lee 108,
,bb. ,Lee 109,
,cc. ,Lee 112 (modified),
,dd. ,Lee 119,
,ee. ,Lummis 2,
,ff. ,Markey 1,
,gg. ,Markey 2,
,hh. ,Moran-Thune 1 (modified),
,ii. ,Peters 1 (modified),
,jj. ,Rosen 1 (modified),
,kk. ,Rosen 3, modified by ,Rosen 3 (modified),
,ll. ,Rosen 5,
,mm. ,Scott 2 (modified),
,nn. ,Scott 11,
,oo. ,Scott 23,
,pp. ,Scott 30,
,qq. ,Scott 39,
,rr. ,Scott 49 (modified),
,ss. ,Scott 50 (modified),
,tt. ,Sinema 1,
,uu. ,Tester 1 (modified),
,vv. ,Tester 2, modified by ,Tester 2 (modified),
,ww. ,Thune 2,
,xx. ,Young 1, modified by ,Cantwell 1 to Young 1 (modified),
,7. Nomination of Col. Pamela Melroy to be Deputy Administrator of the National Aeronautics and Space Administration (PN406),
,8. Nomination of Mr. Carlos Monje to be Undersecretary of Transportation for Policy (PN437),
,9. Nomination of Dr. Richard Spinrad to be Under Secretary of Commerce for Oceans and Atmosphere,
,(PN439),
,10. Coast Guard Promotions (PN371, PN372, PN424, PN474, PN475),
,###"
"June 15, 2021",Chair Cantwell Applauds Lina Khan’s Confirmation to FTC,https://www.commerce.senate.gov/2021/6/chair-cantwell-applauds-lina-khan-s-confirmation-to-ftc,"WASHINGTON, D.C. –, U.S. Senate Committee on Commerce, Science, and Transportation Chair Maria Cantwell (D-WA) today applauded the Senate confirmation of President Biden’s nominee, Lina Khan, to serve on the Federal Trade Commission. On May 12, Khan’s nomination was approved by the Committee with a strong bipartisan vote.,
,“I’m very pleased to congratulate Ms. Khan on her confirmation to the Federal Trade Commission,”, said Chair Cantwell. ,“Her confirmation comes at a critical time for our nation as consumers have spent more time online than ever before during the pandemic, from connecting with loved ones, or staying on top of the news, to making a living by working remotely. As I said during Ms. Khan’s nomination hearing before the Commerce Committee: I believe in the promise of the internet and the information age, but I also believe that we need a policeman – or in this case – a policewoman – on the beat. That is the FTC’s core mission. We must protect consumers from the frauds and scams that have proliferated during the pandemic. We must protect their privacy and renew our focus on cybersecurity– both of which are essential to protecting our national security and infrastructure. And we have to do everything we can to help stabilize the local news ecosystem which has been severely impacted by unfair practices by the major internet advertising platforms. I look forward to working with Ms. Khan and the FTC on these critical issues.”,
,Chair Cantwell ,spoke about, Ms. Khan at her nomination hearing in April.,
,###"
"June 10, 2021","Cantwell, Wicker Introduce Bipartisan Surface Reauthorization",https://www.commerce.senate.gov/2021/6/cantwell-wicker-introduce-bipartisan-surface-reauthorization,"WASHINGTON, D.C. – ,Senate Committee on Commerce, Science, and Transportation Chair Maria Cantwell (D-WA) and Ranking Member Roger Wicker (R-MS) today introduced the ,Surface Transportation Investment Act ,which authorizes $78 billion over five years to address key infrastructure and safety priorities broken out as follows: $36 billion for rail, $27.8 billion for multimodal grant programs and $13 billion for safety programs.,
,“With the economy rebounding, it’s imperative that our long delayed transportation needs are addressed,” ,Chair Cantwell said., “Whether it’s moving people safely, delivering freight on time, or addressing environmental needs, this legislation is a down payment to thrive and compete in the innovation economy.”,
,“This bill continues the Commerce Committee’s strong history of working across the aisle to find solutions that benefit all Americans,” ,Ranking Member Wicker said., “The legislation will grow the economy by increasing authorized funding and making improvements to our rail, freight, ports, research, and safety programs.  I thank Senator Cantwell for her dedication to these issues, and I look forward to working with my colleagues to pass a comprehensive infrastructure package through the Senate.”,
,Below are some highlights from the ,Surface Transportation Investment Act,:,
,MULTIMODAL AND FREIGHT INVESTMENTS - $28 billion,
,
,Freight: ,This bill invests an average of $1.2 billion a year in the Nationally Significant Multimodal Freight grant program, also known as INFRA. Additionally, the bill provides resources for multistate planning and research.,
,
,
,Multimodal Investment,: This bill for the first time authorizes the U. S. DOT’s BUILD/RAISE grant program at $1.5 billion annually and creates a new program to fund big dollar value projects of national significance at $2 billion annually. Additionally, the bill provides rural and tribal communities with the resources and tools to better plan and compete for financial assistance. ,
,
,
,Multimodal freight policy: ,The bill authorizes a new office of Multimodal Freight Infrastructure and Policy, updates the National Freight Strategic Plan, and improves coordination between the federal and state governments on freight planning.,
,
,RAIL - $36 billion,
,
,Passenger Rail,: This bill authorizes over $25 billion over five years for intercity passenger rail, the most significant bipartisan investment in passenger rail in history. This bill protects Amtrak’s critically important long-distance routes, provides funding to address the Northeast Corridor project backlog, and encourages expansion of passenger rail corridors with State support.,
,
,
,Safety: ,This bill invests $7.5 billion over five years for rail safety and improvement projects, including a new $500 million per year grant program to eliminate grade crossings and a significant increase in funding for the popular Consolidated Rail and Infrastructure Safety Improvement (CRISI) grant program.,
,
,
,RRIF:, The bill makes substantial improvements to the Railroad Rehabilitation and Improvement Financing Program (RRIF) to make it a more attractive and useful to potential borrowers. For the first time, it authorizes $50 million per year for credit risk premium assistance similar to other U.S. DOT loan programs, expands eligibility to transit-oriented development projects and landside port infrastructure, and codifies the RRIF express program targeted at smaller and rural project applicants.,
,
,SAFETY - $13 billion,
,
,Highway Safety,: This bill invests $6 billion into the National Highway Traffic Safety Administration’s (NHTSA) highway safety programs,
,
,
,Truck Safety,: This bill invests $4.6 billion into the Federal Motor Carrier Safety Administration’s (FMCSA) commercial vehicle programs through proven programs that provide flexibility to states to help address highway fatalities, combat human trafficking, and improve law enforcement training. ,
,
,
,Hazardous Materials Safety,: This legislation invests $500 million dollars over five years to improve first responder planning and training for hazardous material incidents.,
,
,RESEARCH - $1 billion,
,
,This bill invests nearly $1 billion for new and existing research and development programs.,
,
,The legislation also reauthorizes and makes important reforms to many of the agencies in the Department of Transportation including:,
,
,
,The Office of the Secretary (OST),
,The Federal Railroad Administration (FRA),
,The Federal Motor Carrier Safety Administration (FMCSA),
,The National Highway Traffic Safety Administration (NHTSA),
,The Pipeline and Hazardous Materials Safety Administration’s (PHMSA) Hazardous Materials Programs,
,
,
,A summary of the legislation is available ,HERE,, a section-by-section can be found ,HERE,, and the full text of the bill can be read ,HERE,.,
,###,
, "
"June 9, 2021","Cantwell, Wicker Introduce Sport Fish Restoration and Recreational Boating Safety Act",https://www.commerce.senate.gov/2021/6/cantwell-wicker-introduce-sport-fish-restoration-and-recreational-boating-safety-act,"WASHINGTON, D.C. – ,Senate Committee on Commerce, Science, and Transportation Chair Maria Cantwell (D-WA) and Ranking Member Roger Wicker (R-MS) today introduced the Sport Fish Restoration and Recreational Boating Safety Act of 2021. The legislation would reauthorize the Sport Fish Restoration and Boating Trust Fund, which supports about $650 million annually in fishery restoration and conservation programs, boating access and infrastructure, as well as fish stocking programs important to recreational anglers. The legislation would also authorize studies on the impacts of non-motorized vessel use on vessel waterway access as well as the impact of abandoned vessels.,
,“Washingtonians love recreational fishing,” ,said Chair Cantwell., “That means boating, charter fishing, fly fishing, or even fishing just off the dock. Give us any means possible and we will fish. That’s why I’m introducing legislation to reauthorize the Sport Fish Restoration and Boating Trust Fund, which helps keep our lines in the water – and fish on the road to recovery by supporting $600 million per year in fisheries restoration, conservation, and improving access for outdoor recreation.”,
,“Since 1950, the Sport Fish Restoration and Boating Trust Fund has been a key component in increasing access for marine and freshwater anglers by protecting vital habitats,” ,said Ranking Member Wicker. ,“Our legislation would reauthorize this important fund while implementing studies aimed to improve the program. I thank Chair Cantwell for working with me to advance this measure.”,
,The Sport Fish Restoration and Recreational Boating Safety Act of 2021 would:,
,
,Reauthorize the Sport Fish Restoration and Boating Trust Fund through fiscal year 2026;,
,
,
,Authorize a report on the use of the Trust Fund toward improved non-motorized vessel access;,
,
,
,Authorize a study on the impacts and potential solutions for abandoned vessels.,
,
,###,
, "
